Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
ASX:BCB,"Bowen Coking Coal Limited (ASX:BCB)",https://www.listcorp.com/asx/bcb/bowen-coking-coal-limited,"	524254000",0.36,0.02,5.88,Materials
ASX:TPW,"Temple & Webster Group (ASX:TPW)",https://www.listcorp.com/asx/tpw/temple-and-webster-group,"	518213000",4.57,0.27,6.28,"Consumer Discretionary"
ASX:PPC,"Peet Limited (ASX:PPC)",https://www.listcorp.com/asx/ppc/peet-limited,"	516941000",1.055,-0.01,-1.4,"Real Estate"
ASX:FCL,"Fineos Corporation Holdings (ASX:FCL)",https://www.listcorp.com/asx/fcl/fineos-corporation-holdings,"	514210000",1.705,0.09,5.9,"Information Technology"
ASX:HM1,"Hearts and Minds Investments Limited (ASX:HM1)",https://www.listcorp.com/asx/hm1/hearts-and-minds-investments-limited,"	512664000",2.27,0.02,0.89,Financials
ASX:AFG,"Australian Finance Group Ltd (ASX:AFG)",https://www.listcorp.com/asx/afg/australian-finance-group-ltd,"	511345000",1.935,0.03,1.84,Financials
ASX:FGX,"Future Generation Investment Company (ASX:FGX)",https://www.listcorp.com/asx/fgx/future-generation-investment-company,"	508873000",1.26,0.00,0,Financials
ASX:TYR,"Tyro Payments Limited (ASX:TYR)",https://www.listcorp.com/asx/tyr/tyro-payments-limited,"	506869000",1.025,0.04,4.59,"Information Technology"
ASX:CCX,"City Chic Collective Limited (ASX:CCX)",https://www.listcorp.com/asx/ccx/city-chic-collective-limited,"	500947000",2.18,0.02,0.93,"Consumer Discretionary"
ASX:HT1,"HT&E Limited (ASX:HT1)",https://www.listcorp.com/asx/ht1/ht-and-e-limited,"	500855000",1.525,-0.09,-5.28,"Communication Services"
ASX:ADT,"Adriatic Metals (ASX:ADT)",https://www.listcorp.com/asx/adt/adriatic-metals,"	499599000",2.49,0.09,3.75,Materials
ASX:CVW,"Clearview Wealth Limited (ASX:CVW)",https://www.listcorp.com/asx/cvw/clearview-wealth-limited,"	495779000",0.75,0.00,0,Financials
ASX:GCI,"Gryphon Capital Income Trust (ASX:GCI)",https://www.listcorp.com/asx/gci/gryphon-capital-income-trust,"	491187000",2.02,0.00,0,Financials
ASX:MNY,"Money3 Corporation Limited (ASX:MNY)",https://www.listcorp.com/asx/mny/money3-corporation,"	489517000",2.295,0.01,0.22,Financials
ASX:CTM,"Centaurus Metals (ASX:CTM)",https://www.listcorp.com/asx/ctm/centaurus-metals,"	489037000",1.16,0.01,1.31,Materials
ASX:MYS,"MyState Limited (ASX:MYS)",https://www.listcorp.com/asx/mys/mystate,"	486104000",4.58,-0.01,-0.22,Financials
ASX:NEU,"Neuren Pharmaceuticals (ASX:NEU)",https://www.listcorp.com/asx/neu/neuren,"	482449000",3.8,-0.03,-0.78,"Health Care"
ASX:IHL,"Incannex Healthcare Limited (ASX:IHL)",https://www.listcorp.com/asx/ihl/incannex-healthcare-limited,"	479626000",0.415,0.04,10.67,"Health Care"
ASX:PIC,"Perpetual Equity Investment Company (ASX:PIC)",https://www.listcorp.com/asx/pic/perpetual-equity-investment-company,"	471890000",1.26,0.01,0.4,Financials
ASX:PRN,"Perenti Global Limited (ASX:PRN)",https://www.listcorp.com/asx/prn/perenti-global-limited,"	469298000",0.67,0.00,0.75,Materials
ASX:VBND,"Vanguard Global Aggregate Bond Index (Hedged) ETF (ASX:VBND)",https://www.listcorp.com/asx/vbnd/vanguard-global-aggregate-bond-index-hedged-etf,"	469236000",43.38,-0.03,-0.07,Financials
ASX:REP,"RAM Essential Services Property Fund (ASX:REP)",https://www.listcorp.com/asx/rep/ram-essential-services-property-fund,"	468976000",0.89,-0.01,-1.11,"Real Estate"
ASX:HAS,"Hastings Technology Metals Limited (ASX:HAS)",https://www.listcorp.com/asx/has/hastings-technology-metals,"	466657000",0.235,0.00,2.17,Materials
ASX:OPT,"Opthea Limited (ASX:OPT)",https://www.listcorp.com/asx/opt/opthea-limited,"	466602000",1.32,-0.01,-0.38,"Health Care"
ASX:GDX,"Vaneck Vectors Gold Miners ETF (ASX:GDX)",https://www.listcorp.com/asx/gdx/vaneck-vectors-gold-miners-etf,"	466083000",45.99,1.55,3.49,Financials
ASX:FGG,"Future Generation Global Investment Company (ASX:FGG)",https://www.listcorp.com/asx/fgg/future-generation-global-investment-company,"	463324000",1.18,0.01,0.43,Financials
ASX:PWR,"Peter Warren Automotive Holdings Limited (ASX:PWR)",https://www.listcorp.com/asx/pwr/peter-warren-automotive-holdings-limited,"	460747000",2.68,0.00,0,"Consumer Discretionary"
ASX:WBT,"Weebit Nano Limited (ASX:WBT)",https://www.listcorp.com/asx/wbt/weebit-nano-limited,"	460051000",2.64,-0.03,-1.12,"Information Technology"
ASX:PGG,"Partners Group Global Income Fund (ASX:PGG)",https://www.listcorp.com/asx/pgg/partners-group-global-income-fund,"	453967000",1.65,0.00,0,Financials
ASX:RNU,"Renascor Resources Limited (ASX:RNU)",https://www.listcorp.com/asx/rnu/renascor-resources,"	452265000",0.23,0.02,9.52,Energy
ASX:BCI,"BCI Minerals Limited (ASX:BCI)",https://www.listcorp.com/asx/bci/bci-minerals-limited,"	446294000",0.37,0.00,0,Materials
ASX:BLX,"Beacon Lighting Group Limited (ASX:BLX)",https://www.listcorp.com/asx/blx/beacon-lighting-group-limited,"	442176000",1.99,0.01,0.51,"Consumer Discretionary"
ASX:PNR,"Pantoro Limited (ASX:PNR)",https://www.listcorp.com/asx/pnr/pantoro-limited,"	441006000",0.285,0.01,1.79,Materials
ASX:COE,"Cooper Energy Limited (ASX:COE)",https://www.listcorp.com/asx/coe/cooper-energy-limited,"	440838000",0.27,0.00,0,Energy
ASX:AGG,"Anglogold Ashanti (ASX:AGG)",https://www.listcorp.com/asx/agg/anglogold-ashanti,"	438010000",5.01,0.10,2.04,Materials
ASX:EHL,"Emeco Holdings Limited (ASX:EHL)",https://www.listcorp.com/asx/ehl/emeco-holdings-limited,"	436796000",0.8075,-0.01,-0.92,Industrials
ASX:PSC,"Prospect Resources Limited (ASX:PSC)",https://www.listcorp.com/asx/psc/prospect-resources-limited,"	436753000",0.96,-0.02,-2.04,Materials
ASX:SGLLV,"Ricegrowers Limited (ASX:SGLLV)",https://www.listcorp.com/asx/sgllv/ricegrowers-limited,"	436107000",7.05,0.01,0.14,"Consumer Staples"
ASX:DXC,"Dexus Convenience Retail Reit (ASX:DXC)",https://www.listcorp.com/asx/dxc/dexus-convenience-retail-reit,"	435102000",3.1,-0.05,-1.59,"Real Estate"
ASX:IJR,"iShares S&P Small-Cap ETF (ASX:IJR)",https://www.listcorp.com/asx/ijr/ishares-s-and-p-small-cap-etf,"	433789000",141.95,0.96,0.68,Financials
ASX:STA,"Strandline Resources Limited (ASX:STA)",https://www.listcorp.com/asx/sta/strandline-resources-limited,"	427862000",0.3525,0.01,2.17,Materials
ASX:SKT,"Sky Network Television Limited (ASX:SKT)",https://www.listcorp.com/asx/skt/sky-network-television-limited,"	424493000",2.4,-0.03,-1.23,"Communication Services"
ASX:MLX,"Metals X Limited (ASX:MLX)",https://www.listcorp.com/asx/mlx/metals-x,"	421879000",0.4725,0.01,1.61,Materials
ASX:JMS,"Jupiter Mines Limited (ASX:JMS)",https://www.listcorp.com/asx/jms/jupiter-mines-limited,"	421183000",0.215,0.00,0,Materials
ASX:MVF,"Monash IVF Group Limited (ASX:MVF)",https://www.listcorp.com/asx/mvf/monash-ivf-group-limited,"	418857000",1.065,-0.01,-0.93,"Health Care"
ASX:A4N,"Alpha HPA Limited (ASX:A4N)",https://www.listcorp.com/asx/a4n/alpha-hpa-limited,"	413653000",0.54,0.02,3.85,Materials
ASX:IJP,"iShares MSCI Japan ETF (ASX:IJP)",https://www.listcorp.com/asx/ijp/ishares-msci-japan-etf,"	409556000",79.58,-0.74,-0.92,Financials
ASX:BET,"Betmakers Technology Group (ASX:BET)",https://www.listcorp.com/asx/bet/betmakers-technology-group,"	406557000",0.4625,0.01,2.78,"Consumer Discretionary"
ASX:SNL,"Supply Network Limited (ASX:SNL)",https://www.listcorp.com/asx/snl/supply-network,"	405887000",9.94,0.00,0,"Consumer Discretionary"
ASX:TLG,"Talga Group Ltd (ASX:TLG)",https://www.listcorp.com/asx/tlg/talga-group,"	405616000",1.365,0.03,2.63,Materials
ASX:AGX1,"Antipodes Global Shares (Quoted Managed Fund) (ASX:AGX1)",https://www.listcorp.com/asx/agx1/antipodes-global-shares,"	405486000",5.61,0.02,0.36,Financials
ASX:VG8,"VGI Partners Asian Investments Limited (ASX:VG8)",https://www.listcorp.com/asx/vg8/vgi-partners-asian-investments-limited,"	405080000",1.825,0.00,0,Financials
ASX:PLL,"Piedmont Lithium Limited (ASX:PLL)",https://www.listcorp.com/asx/pll/piedmont-lithium-limited,"	403592000",0.835,0.07,9.15,Materials
ASX:ALI,"Argo Global Listed Infrastructure (ASX:ALI)",https://www.listcorp.com/asx/ali/argo-global-listed-infrastructure,"	402085000",2.39,-0.01,-0.42,Financials
ASX:BVS,"Bravura Solutions (ASX:BVS)",https://www.listcorp.com/asx/bvs/bravura-solutions,"	401092000",1.595,-0.02,-1.24,"Information Technology"
ASX:RUL,"RPMGlobal Holdings Limited (ASX:RUL)",https://www.listcorp.com/asx/rul/rpmglobal-holdings-limited,"	399928000",1.7,-0.02,-1.16,"Information Technology"
ASX:TIE,"Tietto Minerals Limited (ASX:TIE)",https://www.listcorp.com/asx/tie/tietto-minerals-limited,"	397982000",0.425,0.01,2.41,Materials
ASX:AOF,"Australian Unity Office Fund (ASX:AOF)",https://www.listcorp.com/asx/aof/australian-unity-office-fund,"	397808000",2.42,0.00,0,"Real Estate"
ASX:GLN,"Galan Lithium Limited (ASX:GLN)",https://www.listcorp.com/asx/gln/galan-lithium-limited,"	397241000",1.375,0.07,5.36,Materials
ASX:PCI,"Perpetual Credit Income Trust (ASX:PCI)",https://www.listcorp.com/asx/pci/perpetual-credit-income-trust,"	396770000",1,0.01,1.01,Unclassified
ASX:CVN,"Carnarvon Energy Limited (ASX:CVN)",https://www.listcorp.com/asx/cvn/carnarvon-energy-limited,"	396041000",0.225,0.00,2.27,Energy
ASX:AMI,"Aurelia Metals Limited (ASX:AMI)",https://www.listcorp.com/asx/ami/aurelia-metals-limited,"	395858000",0.3275,0.01,2.34,Materials
ASX:SLC,"Superloop Limited (ASX:SLC)",https://www.listcorp.com/asx/slc/superloop-limited,"	393982000",0.805,-0.01,-1.23,"Communication Services"
ASX:AFP,"AFT Pharmaceuticals Limited (ASX:AFP)",https://www.listcorp.com/asx/afp/aft-pharmaceuticals-limited,"	393897000",3.75,-0.01,-0.27,"Health Care"
ASX:SKO,"Serko Limited (ASX:SKO)",https://www.listcorp.com/asx/sko/serko-limited,"	393756000",3.29,0.02,0.61,"Information Technology"
ASX:PE1,"Pengana Private Equity Trust (ASX:PE1)",https://www.listcorp.com/asx/pe1/pengana-private-equity-trust,"	393346000",1.42,0.00,0.35,Financials
ASX:MHJ,"Michael Hill International Limited (ASX:MHJ)",https://www.listcorp.com/asx/mhj/michael-hill-international-limited,"	392168000",0.98,-0.03,-2.97,"Consumer Discretionary"
ASX:DVP,"Develop Global Limited (ASX:DVP)",https://www.listcorp.com/asx/dvp/develop-global-limited,"	391454000",2.55,0.12,4.94,Materials
ASX:HUM,"Humm Group Limited (ASX:HUM)",https://www.listcorp.com/asx/hum/humm-group-limited,"	391262000",0.805,0.02,1.9,Financials
ASX:IVE,"iShares MSCI EAFE ETF (ASX:IVE)",https://www.listcorp.com/asx/ive/ishares-msci-eafe-etf,"	382235000",97.37,0.43,0.44,Financials
ASX:KGN,"Kogan.com Ltd (ASX:KGN)",https://www.listcorp.com/asx/kgn/kogan.com-ltd,"	380662000",3.65,0.09,2.53,"Consumer Discretionary"
ASX:BFG,"Bell Financial Group Limited (ASX:BFG)",https://www.listcorp.com/asx/bfg/bell-financial-group-limited,"	380082000",1.195,0.01,0.84,Financials
ASX:BUB,"Bubs Australia Limited (ASX:BUB)",https://www.listcorp.com/asx/bub/bubs-australia-limited,"	379921000",0.63,0.01,1.61,"Consumer Staples"
ASX:HFR,"Highfield Resources Limited (ASX:HFR)",https://www.listcorp.com/asx/hfr/highfield-resources,"	379007000",1.03,-0.01,-0.96,Materials
ASX:SYM,"Symbio Holdings Limited (ASX:SYM)",https://www.listcorp.com/asx/sym/symbio-holdings-limited,"	378384000",4.47,0.01,0.22,"Information Technology"
ASX:PMC,"Platinum Capital (ASX:PMC)",https://www.listcorp.com/asx/pmc/platinum-capital,"	377693000",1.295,0.01,0.78,Financials
ASX:3PL,"3P Learning (ASX:3PL)",https://www.listcorp.com/asx/3pl/3p-learning,"	377401000",1.375,0.01,0.73,"Consumer Discretionary"
ASX:PAC,"Pacific Current Group Limited (ASX:PAC)",https://www.listcorp.com/asx/pac/pacific-current-group,"	373393000",7.34,0.04,0.55,Financials
ASX:SDG,"Sunland Group (ASX:SDG)",https://www.listcorp.com/asx/sdg/sunland,"	372394000",2.68,-0.04,-1.47,"Real Estate"
ASX:SST,"Steamships Trading Company Limited (ASX:SST)",https://www.listcorp.com/asx/sst/steamships-trading-company,"	372099000",12,0.00,0,Industrials
ASX:ADH,"Adairs Limited (ASX:ADH)",https://www.listcorp.com/asx/adh/adairs-limited,"	371757000",2.245,0.08,3.46,"Consumer Discretionary"
ASX:GDF,"Garda Diversified Property Fund (ASX:GDF)",https://www.listcorp.com/asx/gdf/garda-diversified-property-fund,"	371060000",1.65,0.02,1.23,"Real Estate"
ASX:GMD,"Genesis Minerals Limited (ASX:GMD)",https://www.listcorp.com/asx/gmd/genesis-minerals-limited,"	368253000",1.5,0.04,2.74,Materials
ASX:MNS,"Magnis Energy Technologies (ASX:MNS)",https://www.listcorp.com/asx/mns/magnis-energy-technologies,"	367264000",0.395,0.02,3.95,Materials
ASX:VAE,"Vanguard FTSE Asia Ex Japan Shares Index ETF (ASX:VAE)",https://www.listcorp.com/asx/vae/vanguard-ftse-asia-ex-japan-shares-index-etf,"	363901000",67.75,0.59,0.88,Financials
ASX:IMM,"Immutep Limited (ASX:IMM)",https://www.listcorp.com/asx/imm/immutep-limited,"	363821000",0.43,0.01,2.38,"Health Care"
ASX:KCN,"Kingsgate Consolidated Limited (ASX:KCN)",https://www.listcorp.com/asx/kcn/kingsgate-consolidated,"	362966000",1.68,0.04,2.44,Materials
ASX:BCK,"Brockman Mining Ltd (ASX:BCK)",https://www.listcorp.com/asx/bck/brockman-mining,"	361929000",0.039,0.00,0,Materials
ASX:ASG,"Autosports Group Limited (ASX:ASG)",https://www.listcorp.com/asx/asg/autosports-group-limited,"	361800000",1.795,-0.01,-0.28,"Consumer Discretionary"
ASX:HIO,"Hawsons Iron Limited (ASX:HIO)",https://www.listcorp.com/asx/hio/hawsons-iron-limited,"	361607000",0.55,0.04,8.91,Materials
ASX:MYR,"Myer Holdings Limited (ASX:MYR)",https://www.listcorp.com/asx/myr/myer-holdings,"	361363000",0.4325,-0.01,-1.7,"Consumer Discretionary"
ASX:WMI,"WAM Microcap Limited (ASX:WMI)",https://www.listcorp.com/asx/wmi/wam-microcap-limited,"	359722000",1.705,-0.01,-0.87,Financials
